mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.10612233479817708,0.015142204733354316,0.01279592514038086,0.00016804377857357523,0.85,2.0,0.0,200,3,4,0.03,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.85}",-6.513317228411877,-4.408193567655809,-3.588262143456677,-4.836590979841454,1.2319713388389861,3,-1.404409437396756,-1.4048540622877976,-1.5612350582078263,-1.4568328526307932,0.07382373069158374
0.19184366861979166,0.004945622784601967,0.013231039047241211,0.000413387290857222,1.0,1.0,0.1,500,3,4,0.01,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 500, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",-6.565065451143671,-4.478890018767036,-4.061653525529534,-5.03520299848008,1.0951045356113038,11,-1.4085463520893349,-1.3995518926466208,-1.5624678207014104,-1.4568553551457886,0.07476951132522622
0.11787756284077962,0.006884175043658418,0.01244680086771647,0.0006436655616526036,1.0,2.0,0.01,500,3,2,0.01,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 500, 'model__min_child_weight': 3, 'model__max_depth': 2, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.85}",-6.97898101116741,-4.430014074261389,-3.7232262305760937,-5.044073772001631,1.3982815124591164,12,-1.6802169936296145,-1.6890774983578152,-1.8517892150336397,-1.7403612356736897,0.07887447020082261
0.049751599629720054,0.0008489425162085492,0.012003819147745768,0.0003756890968001098,1.0,2.0,0.1,100,3,3,0.05,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 100, 'model__min_child_weight': 3, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",-6.525755006460922,-4.461471848423325,-3.667788240854486,-4.885005031912911,1.2045825767917409,5,-1.5090915988761222,-1.4906315558981797,-1.650376151143977,-1.5500331019727598,0.07135236008439559
0.05416544278462728,0.0077254492016736965,0.017168045043945312,0.0056756846138460455,0.85,2.0,0.0,100,1,2,0.01,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 100, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.85}",-5.670877854112296,-6.0003685524564405,-4.630419349429253,-5.433888585332664,0.5838453789924379,20,-3.9499594314757065,-3.6096629940239446,-4.170401443680041,-3.910007956393231,0.23065702171785987
0.11843450864156087,0.003136326490718638,0.012241999308268229,0.00024661766535957264,0.7,1.0,0.0,500,5,2,0.03,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 500, 'model__min_child_weight': 5, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",-7.1135976086609,-4.120538845403737,-3.6651665008446646,-4.9664343183031,1.5296129444279698,8,-1.5591060456141748,-1.5150895088287484,-1.6643998962189979,-1.5795318168873071,0.06264347289613569
0.0881957213083903,0.004364800763129584,0.012693166732788086,0.0005660751324833599,0.85,2.0,0.1,200,5,4,0.01,1.0,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",-6.506293558508237,-4.926101246036973,-3.7372110003311567,-5.056535268292123,1.1342293504464822,15,-1.965451016798185,-1.8855680017204526,-2.184671150446496,-2.0118967229883777,0.1264478182547718
0.047634124755859375,0.0020071933668219565,0.011842171351114908,0.0002822081359867576,0.85,0.5,0.01,100,5,3,0.01,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.01, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.85}",-6.2161543048628785,-5.487329086640613,-4.336652782732727,-5.346712058078739,0.773718878518362,16,-3.3612860093506898,-3.075315370580265,-3.552403700574837,-3.329668360168597,0.1960494418237464
0.06547188758850098,0.0020283342318227707,0.012347539265950521,0.00030929021644835776,0.85,0.5,0.0,100,3,5,0.01,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.0, 'model__n_estimators': 100, 'model__min_child_weight': 3, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.85}",-6.626497286921043,-5.313855434364553,-4.204641247228432,-5.381664656171343,0.9898805440288998,17,-3.0173567419711818,-2.8107319595542983,-3.145173236034889,-2.9910873125201234,0.13779284946676265
0.07503962516784668,0.0008646921122524945,0.01237050692240397,0.0001618655946495652,0.85,2.0,0.0,200,3,3,0.01,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 3, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",-5.992654273082365,-4.930025594656222,-3.94270461616769,-4.955128161302093,0.8370766604122173,7,-2.215197633896167,-2.0527987252600357,-2.3516177628350223,-2.2065380406637414,0.12214593927081276
