time_ps,potential_energy_kj_mol,kinetic_energy_kj_mol,total_energy_kj_mol,temperature_kelvin
0.2,-12954.586792,2383.875977,-10570.710815,187.333798
0.4,-12772.700577,2681.998535,-10090.702042,210.761372
0.6,-12436.805984,2757.246582,-9679.559402,216.674642
0.8,-12382.393661,3043.48291,-9338.910751,239.168152
1.0,-12109.20401,3232.261719,-8876.942291,254.00309
1.2,-12226.913467,3405.624023,-8821.289444,267.626541
1.4,-11894.313416,3318.268066,-8576.045349,260.761787
1.6,-11828.169876,3445.727051,-8382.442825,270.777986
1.8,-11688.359711,3464.024414,-8224.335297,272.21586
2.0,-11663.280823,3536.552002,-8126.728821,277.915347
2.2,-11663.607529,3682.054443,-7981.553085,289.349467
2.4,-11546.143021,3599.167969,-7946.975052,282.835941
2.6,-11477.525917,3649.459961,-7828.065956,286.788072
2.8,-11532.467331,3838.769043,-7693.698288,301.66468
3.0,-11402.561066,3799.930176,-7602.63089,298.612578
3.2,-11531.158981,3790.745117,-7740.413864,297.890782
3.4,-11582.819916,3818.876709,-7763.943207,300.101467
3.6,-11614.787506,3783.807129,-7830.980377,297.34557
3.8,-11637.964691,3849.931641,-7788.033051,302.541879
4.0,-11520.714645,3813.634521,-7707.080124,299.689517
4.2,-11455.779282,3776.618164,-7679.161118,296.780634
4.4,-11558.891739,3812.203857,-7746.687881,299.57709
4.6,-11662.674561,3897.598877,-7765.075684,306.287746
4.8,-11708.068588,3862.02832,-7846.040268,303.49248
5.0,-11617.955795,3737.19165,-7880.764145,293.682353
5.2,-11567.902542,3705.321045,-7862.581497,291.177843
5.4,-11562.723633,3695.708984,-7867.014648,290.422491
5.6,-11650.950027,3761.34375,-7889.606277,295.580314
5.8,-11744.986633,3852.138672,-7892.847961,302.715315
6.0,-11623.311264,3757.5979,-7865.713364,295.285952
6.2,-11533.905853,3884.885254,-7649.020599,305.288663
6.4,-11512.045319,3801.67334,-7710.371979,298.749563
6.6,-11565.034607,3787.22168,-7777.812927,297.613898
6.8,-11502.792633,3904.745117,-7598.047516,306.849324
7.0,-11524.093185,3902.881592,-7621.211594,306.702882
7.2,-11386.590149,3825.366211,-7561.223938,300.611436
7.4,-11518.048584,3813.432129,-7704.616455,299.673612
7.6,-11507.72821,3667.572754,-7840.155457,288.211442
7.8,-11617.200546,3853.229736,-7763.97081,302.801055
8.0,-11482.23262,3766.802734,-7715.429886,296.009301
8.2,-11601.960754,3848.496826,-7753.463928,302.429126
8.4,-11435.085556,3745.897705,-7689.187851,294.366507
8.6,-11439.54068,3782.808838,-7656.731842,297.26712
8.8,-11467.875229,3906.458984,-7561.416245,306.984006
9.0,-11456.374268,3872.191895,-7584.182373,304.291172
9.2,-11547.776184,3862.128174,-7685.64801,303.500327
9.4,-11371.646286,3872.469971,-7499.176315,304.313024
9.6,-11436.645584,3888.85791,-7547.787674,305.600849
9.8,-11414.910965,3842.037842,-7572.873123,301.921555
10.0,-11586.387833,3848.650879,-7737.736954,302.441232
10.2,-11480.730942,3823.589844,-7657.141098,300.471843
10.4,-11571.92778,3748.991699,-7822.936081,294.609644
10.6,-11560.45697,3960.552002,-7599.904968,311.234836
10.8,-11518.860092,3854.965332,-7663.89476,302.937445
11.0,-11422.568741,3745.525391,-7677.04335,294.337249
11.2,-11473.994324,3762.657715,-7711.336609,295.68357
11.4,-11343.629166,3667.206055,-7676.423111,288.182626
11.6,-11554.380646,3872.662842,-7681.717804,304.328181
11.8,-11511.93837,3758.23291,-7753.70546,295.335853
12.0,-11663.520905,3880.707764,-7782.813141,304.96038
