frame,time_ps,radius_of_gyration_nm
0,0.0,1.147395
1,0.2,1.145403
2,0.4,1.149818
3,0.6,1.14903
4,0.8,1.147829
5,1.0,1.142787
6,1.2,1.146315
7,1.4,1.147929
8,1.6,1.152358
9,1.8,1.156643
10,2.0,1.15971
11,2.2,1.163407
12,2.4,1.164609
13,2.6,1.168926
14,2.8,1.168218
15,3.0,1.166382
16,3.2,1.163123
17,3.4,1.161242
18,3.6,1.161679
19,3.8,1.163507
20,4.0,1.163282
21,4.2,1.157158
22,4.4,1.15496
23,4.6,1.153827
24,4.8,1.149727
25,5.0,1.15523
26,5.2,1.155649
27,5.4,1.152942
28,5.6,1.148232
29,5.8,1.145804
30,6.0,1.146296
31,6.2,1.151878
32,6.4,1.15124
33,6.6,1.147197
34,6.8,1.148093
35,7.0,1.149772
36,7.2,1.153436
37,7.4,1.154789
38,7.6,1.150509
39,7.8,1.150957
40,8.0,1.148437
41,8.2,1.14279
42,8.4,1.142529
43,8.6,1.145024
44,8.8,1.144845
45,9.0,1.143738
46,9.2,1.147341
47,9.4,1.149099
48,9.6,1.154389
49,9.8,1.154365
50,10.0,1.154528
51,10.2,1.153955
52,10.4,1.156974
53,10.6,1.154461
54,10.8,1.154611
55,11.0,1.156744
56,11.2,1.159707
57,11.4,1.161733
58,11.6,1.159955
59,11.8,1.153367
