frame,time_ps,rmsd_nm
0,0.0,0.0
1,0.2,0.031488
2,0.4,0.05061
3,0.6,0.064
4,0.8,0.069099
5,1.0,0.06809
6,1.2,0.068699
7,1.4,0.070018
8,1.6,0.074291
9,1.8,0.076616
10,2.0,0.077887
11,2.2,0.085028
12,2.4,0.087339
13,2.6,0.091924
14,2.8,0.090478
15,3.0,0.091361
16,3.2,0.091263
17,3.4,0.09771
18,3.6,0.102856
19,3.8,0.105177
20,4.0,0.103913
21,4.2,0.103294
22,4.4,0.105715
23,4.6,0.107669
24,4.8,0.106658
25,5.0,0.106546
26,5.2,0.106849
27,5.4,0.109074
28,5.6,0.11073
29,5.8,0.112602
30,6.0,0.118671
31,6.2,0.122066
32,6.4,0.128939
33,6.6,0.133841
34,6.8,0.13234
35,7.0,0.130925
36,7.2,0.133738
37,7.4,0.133503
38,7.6,0.136239
39,7.8,0.143061
40,8.0,0.149097
41,8.2,0.156341
42,8.4,0.151826
43,8.6,0.147751
44,8.8,0.14462
45,9.0,0.141199
46,9.2,0.136042
47,9.4,0.129292
48,9.6,0.123726
49,9.8,0.128101
50,10.0,0.132542
51,10.2,0.133538
52,10.4,0.136249
53,10.6,0.135771
54,10.8,0.134592
55,11.0,0.132711
56,11.2,0.135271
57,11.4,0.135895
58,11.6,0.136355
59,11.8,0.13602
